序号,画面标识,结果,位置,置信度
0,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"434,304,586,622",0.87
1,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"317,315,476,637",0.84
2,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"461,229,565,369",0.80
3,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"100,40,189,377",0.78
4,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"14,330,168,639",0.77
5,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"124,29,300,434",0.76
6,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"317,317,479,636",0.57
7,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"381,227,468,366",0.45
8,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,站立,"147,166,294,503",0.91
9,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,站立,"229,155,313,336",0.88
10,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,站立,"334,254,454,556",0.85
11,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,低头看书,"16,261,165,583",0.79
12,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,站立,"371,157,460,318",0.66
13,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,抬头听课,"123,164,190,319",0.61
14,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,站立,"441,256,603,552",0.61
15,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb1237.jpeg,抬头听课,"455,165,538,308",0.58
16,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb991.jpeg,低头写字,"1,301,185,586",0.72
17,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb991.jpeg,站立,"292,200,486,577",0.67
18,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb991.jpeg,低头看书,"189,174,328,356",0.61
19,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb991.jpeg,低头看书,"414,246,541,353",0.53
20,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb991.jpeg,低头看书,"289,208,486,577",0.47
21,D:/learningfiles/bishe/EmotionDetection/datasets/EmotionData/val/images/thumb991.jpeg,低头看书,"0,312,184,615",0.40
