序号,画面标识,结果,位置,置信度
61,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,48,527",0.68
62,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,530",0.44
63,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,31,497",0.35
64,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,48,527",0.70
65,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"137,383,223,530",0.43
66,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.36
67,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,527",0.69
68,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"137,383,223,530",0.48
69,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.39
70,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,527",0.69
71,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"137,383,223,530",0.48
72,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.39
73,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,527",0.69
74,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"137,383,223,530",0.47
75,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.39
76,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,527",0.70
77,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"137,383,223,530",0.55
78,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.37
79,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,527",0.70
80,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"137,383,223,530",0.54
81,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.37
82,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,48,527",0.71
83,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,530",0.59
84,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,399,32,497",0.36
85,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
86,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.55
87,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
88,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.55
89,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
90,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.55
91,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
92,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.55
93,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
94,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.59
95,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
96,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.60
97,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
98,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.60
99,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.77
100,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.60
101,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.76
102,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,530",0.64
103,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.76
104,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,530",0.67
105,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.76
106,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,530",0.67
107,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.75
108,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.66
109,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.75
110,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.66
111,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.75
112,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.66
113,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.76
114,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.64
115,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.77
116,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.61
117,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.77
118,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.61
119,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.76
120,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.58
121,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,35,501",0.28
122,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.76
123,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.58
124,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,35,501",0.28
125,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.76
126,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,224,531",0.59
127,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,35,501",0.28
128,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.76
129,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,224,531",0.59
130,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,35,501",0.28
131,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.75
132,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,224,531",0.60
133,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,33,497",0.26
134,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.75
135,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,224,531",0.60
136,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,33,497",0.26
137,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,47,526",0.75
138,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,224,531",0.60
139,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,抬头听课,"0,401,33,497",0.26
140,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,48,526",0.76
141,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,224,531",0.63
142,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.74
143,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.68
144,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.74
145,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.68
146,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.75
147,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"135,381,223,530",0.71
148,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.75
149,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"135,381,223,530",0.71
150,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,47,526",0.75
151,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"135,381,223,530",0.71
152,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,530",0.76
153,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,46,526",0.74
154,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,46,526",0.74
155,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.72
156,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,396,46,526",0.74
157,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.72
158,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,46,526",0.74
159,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.73
160,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,46,526",0.74
161,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.73
162,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
163,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.74
164,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
165,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.74
166,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
167,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.74
168,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
169,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
170,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
171,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
172,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
173,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
174,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.75
175,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
176,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.76
177,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
178,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,380,223,531",0.76
179,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
180,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.76
181,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
182,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.76
183,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
184,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,223,531",0.76
185,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.72
186,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.76
187,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.70
188,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.76
189,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,45,526",0.70
190,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,381,224,531",0.74
191,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,44,526",0.72
